OBJECTID,gap,plot_id,gap_type,Fd,ZO0L_UNIT,SS1,SS1_,SI1,SS2,SS2_,SI2,SS3,SS3_,SI3,SST,SIT
239,20,20_ 239,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
312,20,20_ 312,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
324,20,20_ 324,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
428,20,20_ 428,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
483,20,20_ 483,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
484,20,20_ 484,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
491,20,20_ 491,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
9,20,20_ 9,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
329,200,200_ 329,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
62,200,200_ 62,S,9000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
355,201,201_ 355,S,14000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
364,201,201_ 364,N,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
529,201,201_ 529,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
129,202,202_ 129,N,12000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
131,202,202_ 131,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
168,202,202_ 168,N,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
184,202,202_ 184,N,2000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
194,202,202_ 194,S,8000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
257,202,202_ 257,S,0,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
288,202,202_ 288,N,14000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
307,202,202_ 307,S,2000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
423,202,202_ 423,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
437,202,202_ 437,N,11000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
468,202,202_ 468,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
530,202,202_ 530,N,39000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
245,203,203_ 245,N,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
401,204,204_ 401,S,9000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
48,204,204_ 48,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
106,205,205_ 106,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
2,205,205_ 2,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
211,205,205_ 211,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
237,205,205_ 237,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
472,205,205_ 472,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
514,205,205_ 514,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
584,205,205_ 584,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
588,205,205_ 588,S,7000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
111,206,206_ 111,S,17000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
138,206,206_ 138,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
319,206,206_ 319,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
524,206,206_ 524,S,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
548,206,206_ 548,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
72,206,206_ 72,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
467,208,208_ 467,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
6,209,209_ 6,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
304,21,21_ 304,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
377,21,21_ 377,S,4000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
432,21,21_ 432,N,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
323,210,210_ 323,S,5000,IDFdk3,0,0,0,0,0,0,0,0,0,,
450,210,210_ 450,S,28000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
141,211,211_ 141,S,18000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
283,211,211_ 283,S,27000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
33,211,211_ 33,S,9000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
69,211,211_ 69,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
356,213,213_ 356,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
422,213,213_ 422,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
435,213,213_ 435,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
460,213,213_ 460,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
573,213,213_ 573,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
43,214,214_ 43,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
124,216,216_ 124,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
128,216,216_ 128,N,27000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
157,216,216_ 157,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
185,216,216_ 185,N,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
246,216,216_ 246,N,25000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
322,216,216_ 322,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
344,216,216_ 344,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
379,216,216_ 379,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
53,216,216_ 53,N,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
553,216,216_ 553,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
586,216,216_ 586,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
159,217,217_ 159,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
169,217,217_ 169,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
589,217,217_ 589,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
243,218,218_ 243,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
507,219,219_ 507,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
532,22,22_ 532,S,0,IDFxm,1,1,16.4,0,0,0,0,0,0,1,16.4
222,220,220_ 222,S,19000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
240,220,220_ 240,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
274,220,220_ 274,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
378,220,220_ 378,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
411,220,220_ 411,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
436,220,220_ 436,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
479,220,220_ 479,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
96,220,220_ 96,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
371,223,223_ 371,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
188,225,225_ 188,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
212,225,225_ 212,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
370,225,225_ 370,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
265,226,226_ 265,N,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
97,226,226_ 97,N,9000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
585,227,227_ 585,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
399,228,228_ 399,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
