,gap,plot,Height,Height growth,Diameter,Crown width,gap_type,B_At,B_Pl,B_Sx,B_Ep,B_Fd,x_site_open,trans_tot,x_trans_tot,lai_4_ring,lai_5_ring,ms,ts,wd,gs,sb,fb,sl,rk,df,near_distance,azimuth_T,slope1,slope2,slope5,slope10,twi10,twi5,twi2,twi1,dem1,dem2,dem5,dem10,aspect1,aspect2,aspect5,aspect10,Gap_area
56,17,147,17,13,0.6,7,S,NA,NA,NA,NA,3,33.55,14.8,50.53,0.89,0.96,0,0,25,25,20,15,0,0,15,2.2,0.116071085,15.8991,12.3966,12.2565,11.2577,5.82507,4.80677,7.02315,4.98294,842.396,842.352,842.394,842.352,1.046217302,1.030224499,0.869196949,0.811093083,0.994456709
57,17,498,6.6,1.5,0.1,2.1,S,NA,NA,NA,NA,12,35.81,14.37,49.07,0.76,0.98,0,0,10,60,10,15,0,0,5,2.02,0.068435628,12.8244,12.3331,7.84578,7.23924,4.571,4.45294,4.79976,4.56541,844.503,844.587,844.436,844.587,1.987617826,1.983470497,1.903455039,1.661626013,0.994456709
58,175,31,94.55882353,13.75,NA,16.5,S,NA,NA,NA,NA,3,57.5,21.03,71.81,0.28,0.32,0,5,5,50,10,20,0,0,10,1.13,0.127503993,7.27911,5.21423,3.02026,2.43867,4.20455,4.17364,3.97328,3.61468,960.553,960.553,960.516,960.553,1.714924353,1.685723082,1.824965562,1.826771428,2.037658975
59,175,45,5.5,NA,0.06,NA,S,NA,NA,NA,NA,15,33.02,15.65,53.43,0.96,1.12,5,0,15,35,5,20,0,0,20,0.57,1.059829043,8.57991,3.39954,2.05597,2.07571,6.09844,5.49349,4.63479,3.25941,958.048,958.093,958.03,958.093,1.227110258,1.307456267,1.999997183,1.932930285,2.037658975
60,175,162,81.95384615,7,1.180769231,21,S,NA,NA,NA,NA,3,57.48,21.58,73.71,0.2,0.35,0,10,5,35,20,25,0,0,5,2.25,1.425621363,5.42928,2.22903,0.568816,0.837813,14.1574,8.45027,8.98874,3.78003,959.578,959.575,959.632,959.575,0.490177609,1.253116373,0.247010563,0.281606544,2.037658975
61,175,200,15.25,2.25,0.265,8.75,S,NA,NA,3,3,21,37.05,14.44,49.3,0.73,0.94,55,5,5,5,0,20,0,0,10,0.06,0.292893219,1.74444,2.94471,4.36074,4.24591,4.837,3.45726,2.81445,2.60177,955.448,955.47,955.497,955.47,1.819601278,1.913935476,1.679249191,1.879681776,2.037658975
62,175,210,25,4.5,0.61,6.5,S,NA,NA,NA,NA,15,34.03,14.33,48.93,0.99,0.99,25,0,15,30,5,10,0,0,15,4.08,0.073865858,2.57553,2.09009,0.554711,1.55142,11.5014,4.86549,4.90889,4.42898,960.168,960.138,960.188,960.138,0.335264981,0.949267613,1.977071594,1.917837784,2.037658975
63,175,227,68.10526316,7.5,NA,19.5,S,NA,NA,NA,NA,6,52.86,20.51,70.06,0.36,0.44,5,5,5,30,20,30,0,0,5,0.85,0.051289392,2.92809,4.5274,3.43411,2.95711,6.23825,3.76467,8.6033,6.26941,960.32,960.371,960.36,960.371,1.984131566,1.97806806,1.958463567,1.953007898,2.037658975
64,175,341,37.5,2.5,0.45,6.5,S,NA,NA,3,NA,9,33.25,11.24,38.38,1.01,1,10,5,25,5,0,20,0,0,35,1.04,0.086170809,5.53821,4.76593,5.44816,5.5562,7.43503,7.1451,4.76217,4.81484,957.082,957.126,957.012,957.126,1.801900793,1.928154898,1.656151229,1.56176576,2.037658975
65,175,381,12.95833333,1.333333333,NA,4.833333333,S,NA,NA,NA,NA,9,42.79,17.19,58.72,0.63,0.72,5,0,10,45,5,30,0,0,5,3.47,1.613044952,2.74009,1.42487,2.69226,2.5271,7.69468,6.22774,5.79885,2.03301,960.147,960.211,960.085,960.211,1.914384722,0.581276863,1.725182118,1.850462416,2.037658975
66,175,433,9.25,1.25,0.25,2.25,S,NA,NA,NA,NA,9,33.63,12.52,42.75,0.94,1.02,5,0,20,25,10,15,0,0,25,0.49,0.019763338,9.97129,5.59171,5.42031,4.99432,4.96078,3.57238,3.23413,2.92788,958.422,958.394,958.239,958.394,1.56995374,1.41731202,1.685653209,1.678941713,2.037658975
67,175,443,55.66666667,7.25,0.721666667,18.125,S,NA,NA,3,NA,9,49.52,20.62,70.41,0.56,0.53,0,0,15,30,15,35,0,0,5,1.25,0.025122046,3.08432,1.69472,2.20037,2.13905,6.84222,4.91504,3.94632,2.80463,959.491,959.503,959.539,959.503,1.885547725,1.911626511,1.858787367,1.974640652,2.037658975
68,175,449,149.5,15.5,1.665,44.5,S,3,NA,3,NA,6,41.69,16.34,55.8,0.66,0.76,5,5,15,25,15,35,0,0,0,0.18,1,1.22052,0.807873,1.18207,1.6208,7.62383,7.85644,6.74898,2.23343,958.056,958.08,958.139,958.08,0.117372171,0.514122192,1.401198118,1.82704918,2.037658975
69,175,497,52,NA,0.81,NA,S,NA,NA,NA,NA,15,24.88,8.03,27.44,1.36,1.31,10,5,30,15,5,5,0,0,30,0.35,1.929776486,7.31119,6.08541,5.96652,5.50789,7.88391,4.38849,1.94205,4.56422,958.114,958.152,958.066,958.152,1.844318573,1.762826347,1.730317288,1.708906319,2.037658975
