"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"91",116,115,"115_ 116",0,"IDFdk3",5,0.7,8,0.2,1,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"92",117,185,"185_ 117",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"93",120,138,"138_ 120",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"94",121,188,"188_ 121",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"95",122,167,"167_ 122",0,"IDFdk3",5,1,NA,NA,NA,NA,NA,NA
"96",123,76,"76_ 123",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"97",124,216,"216_ 124",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"98",125,176,"176_ 125",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"99",126,95,"95_ 126",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"100",127,8,"8_ 127",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"101",128,216,"216_ 128",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"102",129,202,"202_ 129",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"103",130,31,"31_ 130",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"104",131,202,"202_ 131",5000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"105",132,115,"115_ 132",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"106",135,123,"123_ 135",0,"IDFdk3",1,0.6,2,0.2,4,0.2,"Fd - Juniper - Kinnikinnick",12
"107",136,76,"76_ 136",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"108",138,206,"206_ 138",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"109",139,31,"31_ 139",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"110",141,211,"211_ 141",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"111",142,185,"185_ 142",0,"IDFdk3",1,0.6,8,0.4,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"112",143,155,"155_ 143",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"113",144,112,"112_ 144",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
