"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"29",198,67,"67_ 198",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"30",207,122,"122_ 207",1000,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"31",213,65,"65_ 213",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"32",220,49,"49_ 220",11000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"33",225,65,"65_ 225",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"34",232,52,"52_ 232",0,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"35",234,65,"65_ 234",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"36",241,49,"49_ 241",25000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"37",247,52,"52_ 247",5000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"38",253,58,"58_ 253",13000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"39",256,38,"38_ 256",2000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"40",271,37,"37_ 271",1000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"41",273,39,"39_ 273",2000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"42",293,63,"63_ 293",1000,"IDFxm",8,0.6,7,0.4,NA,NA,"Fd - Prickly rose - Sarsaparilla",15
"43",305,70,"70_ 305",0,"IDFxm",8,0.6,7,0.4,NA,NA,"Fd - Prickly rose - Sarsaparilla",15
"44",308,28,"28_ 308",1000,"IDFxm",1,0.4,3,0.4,4,0.2,"Fd - Juniper - Cladonia",13
"45",325,51,"51_ 325",11000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"46",331,14,"14_ 331",0,"IDFxm",1,0.8,3,0.1,4,0.1,"Fd - Juniper - Cladonia",13
"47",335,65,"65_ 335",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"48",349,64,"64_ 349",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"49",357,57,"57_ 357",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"50",372,57,"57_ 372",2000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"51",374,57,"57_ 374",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"52",397,36,"36_ 397",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"53",398,29,"29_ 398",5000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"54",402,54,"54_ 402",18000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"55",407,34,"34_ 407",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"56",426,55,"55_ 426",0,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"57",438,48,"48_ 438",0,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"58",452,61,"61_ 452",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"59",458,66,"66_ 458",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"60",459,49,"49_ 459",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"61",462,11,"11_ 462",0,"IDFxm",1,0.8,3,0.1,4,0.1,"Fd - Juniper - Cladonia",13
"62",469,64,"64_ 469",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"63",475,49,"49_ 475",6000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"64",489,68,"68_ 489",1000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"65",508,39,"39_ 508",6000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
